circuit_id,circuit_name,circuit_locality,circuit_country,circuit_type,lap_length_km,altitude_m,downforce_score,speed_score,technical_score,overtaking_score,downforce_level,speed_profile,technical_level,overtaking_level,lap_length_bucket,altitude_bucket,metadata_confidence,lap_length_source,altitude_source,classification_source,notes
istanbul,Istanbul Park,Istanbul,Turkey,permanent,5.338,85,6,8,8,6,medium,high_speed,high,moderate,medium,low,medium,https://en.wikipedia.org/wiki/Istanbul_Park,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit best known for high-load Turn 8 and elevation changes.
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,street,6.174,15,4,10,8,6,medium,high_speed,high,moderate,long,low,high,https://www.formula1.com/en/racing/2025/saudi-arabia,estimated from coastal circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Very high-speed street circuit with fast walls-lined sequences.
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,street,4.94,5,9,3,9,4,high,low_speed,high,moderate,medium,low,high,https://www.formula1.com/en/racing/2025/singapore,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Street circuit; high downforce braking traction and heat management demands.
miami,Miami International Autodrome,Miami,USA,hybrid,5.412,2,4,8,5,6,medium,high_speed,medium,moderate,medium,low,high,https://www.formula1.com/en/racing/2025/miami,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Temporary stadium-site circuit with long straight and mixed-speed sections.
monaco,Circuit de Monaco,Monte-Carlo,Monaco,street,3.337,10,10,1,10,1,high,low_speed,high,difficult,short,low,high,https://www.formula1.com/en/latest/article/circuit-guide-everything-you-need-to-know-about-the-circuit-de-monaco.vFsmfGHr6RWyLFtxi58wi,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Shortest and slowest street circuit; maximum downforce and minimal overtaking.
monza,Autodromo Nazionale di Monza,Monza,Italy,permanent,5.793,162,1,10,4,8,low,high_speed,medium,easy,long,low,high,https://www.reuters.com/sports/formula1/formula-one-statistics-italian-grand-prix-2025-09-03/,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Temple of Speed; low-downforce long-straight performance is central.
mugello,Mugello Circuit,Mugello,Italy,permanent,5.245,292,7,8,8,4,medium,high_speed,high,moderate,medium,medium,medium,https://en.wikipedia.org/wiki/Mugello_Circuit,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Fast permanent circuit with flowing high-load corners.
nurburgring,Nurburgring,Nurburg,Germany,permanent,5.148,620,7,6,8,5,medium,balanced,high,moderate,medium,medium,medium,https://en.wikipedia.org/wiki/N%C3%BCrburgring,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with technical rhythm and medium-altitude conditions.
portimao,Autodromo Internacional do Algarve,Portimao,Portugal,permanent,4.653,130,7,7,8,5,medium,balanced,high,moderate,medium,low,medium,https://en.wikipedia.org/wiki/Algarve_International_Circuit,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with large elevation changes and blind crests.
red_bull_ring,Red Bull Ring,Spielberg,Austria,permanent,4.318,677,4,8,5,8,medium,high_speed,medium,easy,short,medium,high,https://www.reuters.com/sports/formula1/formula-one-statistics-austrian-grand-prix-2026-06-24/,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Short permanent circuit with elevation strong braking zones and overtaking opportunities.
ricard,Circuit Paul Ricard,Le Castellet,France,permanent,5.842,432,4,9,5,5,medium,high_speed,medium,moderate,long,medium,medium,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with long Mistral straight and configurable layout.
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,permanent,4.304,2240,8,8,6,8,high,high_speed,medium,easy,short,high,high,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,https://www.williamsf1.com/articles/ffcf0d74-0d2c-4b62-9dde-1c7a0e291a91/how-altitude-affects-an-f1-car,analyst-coded estimate; not an official F1 numeric rating,Highest-altitude F1 venue; thin air changes cooling drag and downforce demands.
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,permanent,5.543,45,6,8,7,7,medium,high_speed,medium,moderate,long,low,medium,https://en.wikipedia.org/wiki/Sepang_International_Circuit,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with wide layout long straights and variable-speed corners.
shanghai,Shanghai International Circuit,Shanghai,China,permanent,5.451,4,6,7,7,8,medium,balanced,medium,easy,medium,low,high,https://www.formula1.com/en/racing/2025/china,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with long back straight technical opening complex and strong DRS zone.
silverstone,Silverstone Circuit,Silverstone,UK,permanent,5.891,153,7,9,8,6,medium,high_speed,high,moderate,long,low,high,https://www.formula1.com/en/racing/2025/great-britain,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Fast permanent circuit with high-speed aero corners.
spa,Circuit de Spa-Francorchamps,Spa,Belgium,permanent,7.004,400,5,10,9,7,medium,high_speed,high,moderate,long,medium,high,https://www.formula1.com/en/racing/2025/belgium,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Longest current F1 circuit; high-speed elevation and mixed sector setup compromise.
suzuka,Suzuka Circuit,Suzuka,Japan,permanent,5.807,45,8,8,10,5,high,high_speed,high,moderate,long,low,high,https://www.formula1.com/en/racing/2025/japan,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Technical figure-eight circuit with high-speed esses and strong driver challenge.
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,hybrid,4.361,13,3,8,5,8,low,high_speed,medium,easy,short,low,high,https://www.formula1.com/en/racing/2025/canada,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Semi-permanent circuit with long straights heavy braking and low-medium downforce setup.
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,permanent,5.281,4,5,7,6,6,medium,balanced,medium,moderate,medium,low,high,https://www.formula1.com/en/racing/2025/abu-dhabi,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit revised in 2021; mixed speed profile and long straights.
zandvoort,Circuit Zandvoort,Zandvoort,Netherlands,permanent,4.259,5,8,5,8,3,high,balanced,high,difficult,short,low,high,https://www.formula1.com/en/racing/2025/netherlands,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Narrow permanent circuit with banking and limited overtaking.
losail,Lusail International Circuit,Al Daayen,Qatar,permanent,5.419,14,7,9,7,4,medium,high_speed,medium,moderate,medium,low,high,https://www.formula1.com/en/racing/2025/qatar,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Fast-flowing permanent circuit with high tire and aero loads.
sochi,Sochi Autodrom,Sochi,Russia,hybrid,5.848,2,5,7,5,4,medium,balanced,medium,moderate,long,low,medium,https://en.wikipedia.org/wiki/Sochi_Autodrom,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Semi-permanent Olympic Park circuit; long straights with mostly medium-speed corners.
valencia,Valencia Street Circuit,Valencia,Spain,street,5.419,2,5,7,5,5,medium,balanced,medium,moderate,medium,low,medium,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,estimated from coastal circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Former street circuit with long straights and several slow and medium corners.
yeongam,Korean International Circuit,Yeongam,Korea,hybrid,5.615,5,6,7,6,6,medium,balanced,medium,moderate,long,low,medium,https://en.wikipedia.org/wiki/Korea_International_Circuit,estimated from coastal circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Former F1 circuit with permanent and street-style design elements.
vegas,Las Vegas Strip Circuit,Las Vegas,USA,street,6.201,620,2,10,5,7,low,high_speed,medium,moderate,long,medium,high,https://www.formula1.com/en/racing/2025/las-vegas,estimated from Las Vegas locality elevation references,analyst-coded estimate; not an official F1 numeric rating,High-speed street circuit; F1 compares average speeds to Monza.
